site;gini;PC1nutri;PC2nutri;valor_s;valor_t;ph;faba;silte;PC1;PC2;biomassa_z_kg;log_biomass;produt_z_g.ano;log_produt;SR;PD;MPD;MNTD;SESPD;SESMPD;SESMNTD;SESPDab;SESMPDab;SESMNTDab;PSV;PSR;PSE;PSEab;PSC;ppt;tmax;tmin;pet;vpd;altitude;declividade;idade_anos;unbias.simp;shannon;mcwd;pcps1;pcps2;riq_inicial;c_solo;c_soloid;n_solo;n_sid;c.n_solo;c.n_soloid;PC1_clima
EEG;0.404790299;-0.886316114;1.654800814;2.3;5.25;5.3;0.54839165;50;-1.16249425;-0.233235744;600.1484545;6.397177049;150037.1136;11.91863797;12;911.728379;0.694506914;0.404215747;-1.364894782;-1.112020405;-1.272209031;-1.705450156;-1.088355148;-1.285464482;0.767236677;9.20684013;0.757643907;0.726514329;0.417048602;93.52500006;28.2683334;19.52833333;104.9766667;0.769;28;0;4;0.942857143;2.375646548;-8693.223145;0.213969587;-0.032161055;98;0.915;0.22875;0.075;0.01875;12.2;3.05;1.664506767
EEG;0.380943945;-0.886316114;1.654800814;2.3;5.25;5.3;0.24627379;50;-1.16249425;-0.233235744;421.1562436;6.04300389;105289.0609;11.56446481;11;918.312009;0.619018067;0.556911354;-0.63524088;-0.962694591;-0.38437489;-0.826565385;-0.926614788;-0.410691127;0.772032896;8.492361857;0.680919875;0.741153386;0.496272577;93.52500006;28.2683334;19.52833333;104.9766667;0.769;28;0;4;0.852380952;2.05431218;-8693.223145;0.08825175;-0.061392649;98;0.915;0.22875;0.075;0.01875;12.2;3.05;1.664506767
EEG;0.452928751;-0.507973882;1.372072297;1.8;4.75;5.1;0.928444436;50;-0.886173579;-1.161799202;682.3613792;6.525559399;97480.19703;11.48740453;11;959.536161;0.147681279;0.181748201;-0.366102665;-0.660468353;-0.041959775;-0.371866699;-0.444731784;-0.047840566;0.792032594;8.712358538;0.162449406;0.689501337;0.530322119;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;26;0;7;0.876190476;2.106913074;-8518.342773;-0.237538701;0.087710874;98;0.895;0.127857143;0.075;0.010714286;11.93333333;1.704761905;1.679510722
EEG;0.364923214;-0.507973882;1.372072297;1.8;4.75;5.1;0.730961852;50;-0.886173579;-1.161799202;468.6492734;6.149854671;66949.8962;11.1116998;10;856.144009;0.510356025;0.403091403;-0.834427528;-1.124198973;-0.100494888;-0.737327113;-1.188522457;-0.134305207;0.755901426;7.55901426;0.567062253;0.705697638;0.53417631;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;26;0;7;0.933333333;2.187322319;-8518.342773;-0.075557392;0.01025869;98;0.895;0.127857143;0.075;0.010714286;11.93333333;1.704761905;1.679510722
EEG;0.299704579;-0.507973882;1.372072297;1.8;4.75;5.1;0.739076967;50;-0.886173579;-1.161799202;270.1687919;5.599046919;38595.5417;10.56089205;5;484.985066;0.422312196;0.362855675;-0.287591843;-0.257746219;-0.74123651;-0.515230552;-0.307133418;-0.679274907;0.791014456;3.955072281;0.527890245;0.737686113;0.558993508;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;26;0;7;0.824175824;1.531778079;-8518.342773;-0.134999079;-0.041411346;98;0.895;0.127857143;0.075;0.010714286;11.93333333;1.704761905;1.679510722
EEG;0.268332147;-0.507973882;1.372072297;1.8;4.75;5.1;0.453118672;50;-0.886173579;-1.161799202;327.1245296;5.790340923;46732.07566;10.75218605;7;658.302861;0.631977535;0.510999807;-0.453016009;-0.090336818;-0.635583993;-0.153553619;-0.12887648;-0.662010202;0.80518338;5.636283662;0.737307125;0.76045195;0.531072407;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;26;0;7;0.842857143;1.776842988;-8518.342773;0.118849078;-0.131915057;98;0.895;0.127857143;0.075;0.010714286;11.93333333;1.704761905;1.679510722
EEG;0.354174911;-0.507973882;1.372072297;1.8;4.75;5.1;0.610346673;50;-0.886173579;-1.161799202;818.1355303;6.707028008;116876.5043;11.66887314;8;643.080203;0.468119854;0.461513814;-1.419551574;-2.121190214;-0.816183823;-1.372615527;-2.055677304;-0.835435183;0.700446529;5.603572231;0.534994119;0.653577799;0.494588793;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;26;0;7;0.865497076;1.885764281;-8518.342773;-0.088329338;-0.119787291;98;0.895;0.127857143;0.075;0.010714286;11.93333333;1.704761905;1.679510722
EEG;0.336571249;-0.168820877;1.242798322;1.55;4.75;4.9;0.764711228;68;-0.85978719;0.016952886;411.5343284;6.019892439;68589.05473;11.13588825;6;647.454576;0.320592766;0.426438997;0.641245344;0.602721083;0.561664777;0.758970314;0.690306201;0.584762547;0.854867058;5.129202346;0.384711319;0.653872628;0.693594945;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;24;0;6;0.757894737;1.49561578;-8518.342773;-0.197261755;0.030491902;98;1.035;0.1725;0.075;0.0125;13.8;2.3;1.679510722
EEG;0.342397354;-0.168820877;1.242798322;1.55;4.75;4.9;0.984912083;68;-0.85978719;0.016952886;496.6981581;6.207982514;82783.02635;11.32397832;3;367.342707;0.062648457;0.909394058;0.731873214;0.763111004;0.878687782;0.469544793;0.519289605;0.519479409;0.900931491;2.702794473;0.093972686;0.809243018;0.891464587;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;24;0;6;0.5;0.636514168;-8518.342773;-0.246963652;0.09975078;98;1.035;0.1725;0.075;0.0125;13.8;2.3;1.679510722
EEG;0.41864381;-0.168820877;1.242798322;1.55;4.75;4.9;0.859664374;68;-0.85978719;0.016952886;876.8401924;6.776324755;146140.0321;11.89232056;8;790.073768;0.223936645;0.402207121;0.08566324;0.479462697;0.00099676;0.39040217;0.47290037;0.021240925;0.839851258;6.718810065;0.255927594;0.685415251;0.57758779;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;24;0;6;0.815217391;1.765943983;-8518.342773;-0.225209989;0.050665397;98;1.035;0.1725;0.075;0.0125;13.8;2.3;1.679510722
EEG;0.260718467;-0.168820877;1.242798322;1.55;4.75;4.9;0.394490212;68;-0.85978719;0.016952886;309.4882997;5.734920287;51581.38328;10.8509161;11;781.540332;0.64981733;0.285123033;-2.374875635;-0.548085305;-2.646092113;-2.636734712;-0.8960081;-3.149410238;0.790305387;8.693359253;0.714799063;0.76019645;0.30900574;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;24;0;6;0.936842105;2.250260279;-8518.342773;0.204581919;-0.008185811;98;1.035;0.1725;0.075;0.0125;13.8;2.3;1.679510722
EEG;0.457187906;-0.168820877;1.242798322;1.55;4.75;4.9;0.984410874;68;-0.85978719;0.016952886;669.2331737;6.50613254;111538.8623;11.62212835;7;572.837484;0.12536133;0.210349278;-1.613038027;-0.860848666;-1.761943451;-1.703482279;-0.818845211;-1.873457116;0.764985758;5.354900305;0.146254885;0.546553891;0.405510341;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;24;0;6;0.785714286;1.640756641;-8518.342773;-0.25284887;0.105299931;98;1.035;0.1725;0.075;0.0125;13.8;2.3;1.679510722
EEG;0.250041689;-0.174157712;1.235563767;1.5;4.8;4.95;0.310828539;71;-1.4048387;0.053765199;301.7835345;5.709709987;43111.9335;10.67155512;10;1010.267798;0.667457709;0.517559602;0.965447909;0.793018416;0.849988193;1.053571056;0.755897362;0.773289032;0.848973972;8.489739719;0.741619678;0.798598315;0.620250067;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;21;0;7;0.923976608;2.187270992;-8572.959635;0.15105796;-0.117255699;98;0.985;0.140714286;0.075;0.010714286;13.13333333;1.876190476;1.679510722
EEG;0.405744815;-0.174157712;1.235563767;1.5;4.8;4.95;0.672701758;71;-1.4048387;0.053765199;349.1215608;5.855420173;49874.50869;10.8172653;11;1015.368419;0.484995589;0.453512462;0.375079702;0.044942375;0.302357976;0.27542207;-0.037898597;0.335175541;0.811579838;8.927378214;0.53349515;0.797937213;0.555131314;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;21;0;7;0.933823529;2.262386254;-8572.959635;-0.049317439;-0.103139439;98;0.985;0.140714286;0.075;0.010714286;13.13333333;1.876190476;1.679510722
EEG;0.224930921;-0.174157712;1.235563767;1.5;4.8;4.95;0.623657323;71;-1.4048387;0.053765199;140.6945287;4.946591077;20099.21839;9.908436207;4;418.042555;0.51974439;0.564578666;-0.188788217;0.017501357;-0.513657364;-0.181266222;0.009030733;-0.448570776;0.816104187;3.26441675;0.692992521;0.806911819;0.627515771;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;21;0;7;0.756410256;1.265856752;-8572.959635;0.033231886;0.037582212;98;0.985;0.140714286;0.075;0.010714286;13.13333333;1.876190476;1.679510722
EEG;0.28639547;-0.174157712;1.235563767;1.5;4.8;4.95;0.601091325;71;-1.4048387;0.053765199;221.886269;5.402164949;31698.03844;10.36401008;6;499.135174;0.485108954;0.45218509;-1.624240799;-1.864754476;-1.137074016;-1.531565035;-1.777455365;-1.110456699;0.691060865;4.146365191;0.582130745;0.591417569;0.488165614;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;21;0;7;0.857142857;1.679204332;-8572.959635;-0.07844633;-0.12539554;98;0.985;0.140714286;0.075;0.010714286;13.13333333;1.876190476;1.679510722
EEG;0.295614104;-0.174157712;1.235563767;1.5;4.8;4.95;0.507515137;71;-1.4048387;0.053765199;408.5949953;6.012724434;58370.71361;10.97456956;6;550.061856;0.501796482;0.581597937;-0.903732612;-0.73552764;-0.662176887;-0.852978365;-0.6859849;-0.721538055;0.764842551;4.589055308;0.602155781;0.686332239;0.544293828;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;21;0;7;0.846153846;1.648847072;-8572.959635;0.006059627;-0.154984117;98;0.985;0.140714286;0.075;0.010714286;13.13333333;1.876190476;1.679510722
EEG;0.392059553;0.375001507;0.967102088;1.1;4.9;4.85;0.471876726;60;-1.170241967;-0.357373559;264.4321165;5.57758457;52886.42329;10.87590194;11;840.12279;0.632201823;0.33577069;-1.597429846;-0.219787721;-2.333280466;-1.376790436;-0.152207506;-2.31754279;0.804634205;8.850976258;0.695422007;0.793174669;0.331030505;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;25;0;5;0.961538462;2.311423445;-8572.959635;0.097720656;-0.144487626;98;1.12;0.224;0.09;0.018;12.44444444;2.488888889;1.679510722
EEG;0.401323939;0.375001507;0.967102088;1.1;4.9;4.85;0.81173434;60;-1.170241967;-0.357373559;562.8068868;6.332936562;112561.3774;11.63125393;8;679.659507;0.346397165;0.227681423;-1.020099498;-0.498257306;-1.446970375;-0.98258095;-0.497013825;-1.395244535;0.785432841;6.283462726;0.395882475;0.75947331;0.433894579;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;25;0;5;0.882352941;1.923068868;-8572.959635;-0.178938619;0.013784651;98;1.12;0.224;0.09;0.018;12.44444444;2.488888889;1.679510722
EEG;0.357872659;0.375001507;0.967102088;1.1;4.9;4.85;0.557692615;60;-1.170241967;-0.357373559;335.304675;5.815039596;67060.93499;11.11335696;11;915.587711;0.496058205;0.481002555;-0.712959212;-0.793601761;-0.419935309;-0.912774656;-0.713231837;-0.441972283;0.780152089;8.581672983;0.545664027;0.75315235;0.496961774;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;25;0;5;0.942857143;2.268605286;-8572.959635;-0.043530244;-0.13699844;98;1.12;0.224;0.09;0.018;12.44444444;2.488888889;1.679510722
EEG;0.24315834;0.375001507;0.967102088;1.1;4.9;4.85;0.517317219;60;-1.170241967;-0.357373559;244.8834371;5.50078233;48976.68743;10.7990997;9;806.325683;0.628041888;0.39873764;-0.491050818;0.349024445;-1.101731798;-0.305596113;0.366758218;-1.12376893;0.832179496;7.489615465;0.706547126;0.76445618;0.453843977;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;25;0;5;0.888888889;2.010162659;-8572.959635;0.113345801;-0.004633136;98;1.12;0.224;0.09;0.018;12.44444444;2.488888889;1.679510722
EEG;0.375863755;0.375001507;0.967102088;1.1;4.9;4.85;0.08748425;60;-1.170241967;-0.357373559;304.1194885;5.717420678;60823.89769;11.01573804;8;830.826671;0.229066161;0.813416724;0.82019962;0.759935501;0.597148186;0.894342147;0.707145048;0.651564923;0.852044793;6.816358348;0.261789899;0.750728624;0.644784369;93.40333335;28.2683334;19.56000002;105.8116667;0.768833333;25;0;5;0.808333333;1.747966237;-8572.959635;0.208383786;-0.078915676;98;1.12;0.224;0.09;0.018;12.44444444;2.488888889;1.679510722
ML;0.347488789;1.95128275;-0.712983831;0.15;7.5;4.35;1;63;0.986160658;-1.703115184;635.5950395;6.45456163;105932.5066;11.57055744;3;60.135164;0.103976659;0.110741993;-4.905155157;-5.380588018;-3.945266848;-5.500244114;-5.607366827;-3.912183452;0.147485337;0.442456012;0.155964989;0.064013651;0.090542844;102.6449993;27.19666672;18.43666674;94.74;0.6345;54;30;6;0.472727273;0.759547391;-279.7601573;-0.251218402;0.103272498;95;1.98;0.33;0.1;0.016666667;19.8;3.3;0.344891664
ML;0.359247765;1.95128275;-0.712983831;0.15;7.5;4.35;0.732216313;63;0.986160658;-1.703115184;398.9141305;5.988746182;66485.68841;11.10474199;5;396.783601;0.385598429;0.354096364;-2.034486665;-2.105653747;-1.629429955;-1.741180129;-2.192316528;-1.696119534;0.661369867;3.306849337;0.481998038;0.621663068;0.428907163;102.6449993;27.19666672;18.43666674;94.74;0.6345;54;30;6;0.705882353;1.300592008;-279.7601573;-0.101789441;-0.022383272;95;1.98;0.33;0.1;0.016666667;19.8;3.3;0.344891664
ML;0.489729821;1.95128275;-0.712983831;0.15;7.5;4.35;0.670975215;63;0.986160658;-1.703115184;1235.896151;7.119551615;205982.6919;12.23554742;6;514.183572;0.423722996;0.381302621;-1.181102068;-1.148149958;-1.1834795;-1.320983617;-1.212239686;-1.162581059;0.736003392;4.416020352;0.508467596;0.725948931;0.484401046;102.6449993;27.19666672;18.43666674;94.74;0.6345;54;30;6;0.804761905;1.571446364;-279.7601573;-0.130399432;-0.081140782;95;1.98;0.33;0.1;0.016666667;19.8;3.3;0.344891664
ML;0.396879311;1.95128275;-0.712983831;0.15;7.5;4.35;0.838024988;63;0.986160658;-1.703115184;672.1260813;6.510445944;112021.0135;11.62644175;5;426.274572;0.246613577;0.309049592;-1.52461708;-1.476010991;-1.179554222;-1.334676777;-1.574727145;-1.288532062;0.692175315;3.460876577;0.308266973;0.511029247;0.49337749;102.6449993;27.19666672;18.43666674;94.74;0.6345;54;30;6;0.716666667;1.320888343;-279.7601573;-0.215927434;0.030929892;95;1.98;0.33;0.1;0.016666667;19.8;3.3;0.344891664
ML;0.435219009;1.95128275;-0.712983831;0.15;7.5;4.35;0.674883557;63;0.986160658;-1.703115184;1026.352004;6.933766051;171058.6674;12.04976186;7;550.547872;0.436280825;0.222609929;-2.448056859;-0.551843919;-2.955185642;-1.540672776;-0.558902047;-2.836207721;0.778826315;5.451784207;0.508994297;0.725373956;0.274509913;102.6449993;27.19666672;18.43666674;94.74;0.6345;54;30;6;0.867647059;1.809010284;-279.7601573;-0.098203379;-0.083577661;95;1.98;0.33;0.1;0.016666667;19.8;3.3;0.344891664
ML;0.353482014;2.075508064;-0.589799657;0.05;7.15;4.55;0.580363822;75;-0.237278041;-0.546670402;688.46247;6.534460807;137692.494;11.83277817;11;1048.265476;0.592506426;0.533713654;0.35785982;1.277134772;0.524227614;0.616170735;1.219244012;0.580617042;0.866571068;9.532281743;0.651757072;0.77307836;0.578625236;102.6449993;27.19666672;18.43666674;94.74;0.6345;55;19;5;0.952380952;2.303488495;-302.2789764;-0.005030647;-0.110226604;95;1.575;0.315;0.085;0.017;18.52941176;3.705882353;0.344891664
ML;0.414222536;2.075508064;-0.589799657;0.05;7.15;4.55;0.335742287;75;-0.237278041;-0.546670402;703.671666;6.556311864;140734.3332;11.85462923;13;1188.141712;0.620828099;0.480648173;0.582561797;0.515329676;0.398590003;0.567138584;0.548208998;0.38027678;0.833381892;10.83396459;0.672563776;0.766397775;0.536273475;102.6449993;27.19666672;18.43666674;94.74;0.6345;55;19;5;0.928104575;2.366289318;-302.2789764;0.099043647;-0.147811687;95;1.575;0.315;0.085;0.017;18.52941176;3.705882353;0.344891664
ML;0.576874869;2.075508064;-0.589799657;0.05;7.15;4.55;0.927541385;75;-0.237278041;-0.546670402;1079.921512;6.984643643;215984.3023;12.28296101;12;912.420015;0.163246959;0.207082731;-1.417852298;-0.59318872;-2.293356363;-1.300656809;-0.565344076;-2.233573716;0.789092946;9.469115356;0.178087592;0.753218479;0.335265177;102.6449993;27.19666672;18.43666674;94.74;0.6345;55;19;5;0.958333333;2.393312123;-302.2789764;-0.243404343;0.0870298;95;1.575;0.315;0.085;0.017;18.52941176;3.705882353;0.344891664
ML;0.413621049;2.075508064;-0.589799657;0.05;7.15;4.55;0.388247339;75;-0.237278041;-0.546670402;564.1602275;6.335338302;112832.0455;11.63365567;15;1146.180461;0.570218591;0.283620905;-0.952440638;-0.226060493;-1.657006528;-1.018511173;-0.174264849;-1.608316094;0.805388592;12.08082888;0.610948492;0.756099166;0.369917258;102.6449993;27.19666672;18.43666674;94.74;0.6345;55;19;5;0.970760234;2.625048159;-302.2789764;0.044879088;-0.155242351;95;1.575;0.315;0.085;0.017;18.52941176;3.705882353;0.344891664
ML;0.521360896;2.075508064;-0.589799657;0.05;7.15;4.55;0.990559407;75;-0.237278041;-0.546670402;503.7904989;6.222160505;100758.0998;11.52047787;8;745.110403;0.221668017;0.409151109;-0.55138571;-0.236110519;-0.098559947;-0.308902131;-0.256661819;-0.092604979;0.799140646;6.393125165;0.253334879;0.597004262;0.570211584;102.6449993;27.19666672;18.43666674;94.74;0.6345;55;19;5;0.828571429;1.771623956;-302.2789764;-0.161683035;0.044137368;95;1.575;0.315;0.085;0.017;18.52941176;3.705882353;0.344891664
MP;0.461154815;-4.008957793;-0.703178262;3.9;6.2;5.3;0.485360309;157;-0.627149475;1.108822832;413.2858684;6.024139529;68880.97807;11.14013534;10;759.959349;0.479924265;0.199438248;-1.786540573;-1.044924498;-1.838582699;-1.487448824;-0.894912494;-1.766077887;0.769635075;7.696350749;0.533249185;0.683331994;0.383711274;131.7349995;24.98500001;14.66000005;86.16;0.499833333;459;33.5;6;0.809230769;1.852365905;-297.9123444;0.12308838;0.103026621;95;1.145;0.190833333;0.11;0.018333333;10.40909091;1.734848485;-3.283502971
MP;0.422501225;-4.008957793;-0.703178262;3.9;6.2;5.3;0.875172309;157;-0.627149475;1.108822832;274.0766207;5.613407705;45679.43679;10.72940351;8;688.6502;0.303948985;0.27046771;-0.831654938;-1.072860181;-0.502708576;-0.870341311;-1.05005237;-0.56644652;0.755509432;6.044075456;0.34737027;0.721377512;0.525959502;131.7349995;24.98500001;14.66000005;86.16;0.499833333;459;33.5;6;0.842857143;1.822617832;-297.9123444;-0.203045406;0.068122666;95;1.145;0.190833333;0.11;0.018333333;10.40909091;1.734848485;-3.283502971
MP;0.288904423;-4.008957793;-0.703178262;3.9;6.2;5.3;0.269178327;157;-0.627149475;1.108822832;203.0156646;5.313283142;33835.9441;10.42927895;8;697.742492;0.636221169;0.616900662;-0.832428856;-0.242121941;-1.12470982;-0.755090607;-0.221091715;-1.092270887;0.801901626;6.415213006;0.727109909;0.806178029;0.469882184;131.7349995;24.98500001;14.66000005;86.16;0.499833333;459;33.5;6;0.972222222;2.043191871;-297.9123444;0.290837292;0.1212148;95;1.145;0.190833333;0.11;0.018333333;10.40909091;1.734848485;-3.283502971
MP;0.357748184;-4.008957793;-0.703178262;3.9;6.2;5.3;0.929852717;157;-0.627149475;1.108822832;152.382343;5.026392777;25397.05717;10.14238859;6;502.938413;0.203750766;0.22467776;-1.943799492;-1.164278803;-1.396627279;-1.626548184;-1.020039083;-1.402519143;0.733129373;4.398776237;0.244500921;0.641978174;0.453641943;131.7349995;24.98500001;14.66000005;86.16;0.499833333;459;33.5;6;0.892857143;1.667461933;-297.9123444;-0.230247449;0.093716302;95;1.145;0.190833333;0.11;0.018333333;10.40909091;1.734848485;-3.283502971
MP;0.387372073;-4.008957793;-0.703178262;3.9;6.2;5.3;0.747734699;157;-0.627149475;1.108822832;453.4949889;6.11698422;75582.49816;11.23298003;10;592.069469;0.412684725;0.299426186;-2.989109689;-5.323759763;-2.4031094;-4.202106522;-5.284939228;-2.194574063;0.57043561;5.704356103;0.458538585;0.608127053;0.332635193;131.7349995;24.98500001;14.66000005;86.16;0.499833333;459;33.5;6;0.906666667;2.155185249;-297.9123444;-0.098167872;0.057982084;95;1.145;0.190833333;0.11;0.018333333;10.40909091;1.734848485;-3.283502971
MP;0.340814028;-4.008957793;-0.703178262;3.9;6.2;5.3;0.117195742;157;-0.627149475;1.108822832;303.7825341;5.716312097;50630.42236;10.83230791;5;427.741816;0.216709833;0.717714853;-1.335006942;-1.325626631;-1.350578579;-1.401862587;-1.329786103;-1.44924972;0.712538357;3.562691786;0.270887293;0.684564304;0.463238795;131.7349995;24.98500001;14.66000005;86.16;0.499833333;459;33.5;6;0.725;1.353591352;-297.9123444;0.297504163;0.281944655;95;1.145;0.190833333;0.11;0.018333333;10.40909091;1.734848485;-3.283502971
REGUA;0.471366747;-0.687269845;-2.32017859;1.3;6.7;4.7;0.435950156;138;-1.061119578;1.274187826;231.9499106;5.446521446;46389.98213;10.74483881;12;781.954316;0.676246821;0.436576651;-2.664579225;-2.383047927;-2.508329124;-2.67884809;-2.379323588;-2.594879291;0.723320871;8.679850446;0.737723808;0.733270186;0.30829946;114.9833337;26.72166662;16.6400001;92.15666667;0.580333333;91;0;5;0.941176471;2.351257284;-365.4053345;0.189228327;-0.040169246;217;1.445;0.289;0.11;0.022;13.13636364;2.627272727;-0.996898183
